TRAAAJN128F428E437,Welcome To The Pleasuredome,Frankie Goes To Hollywood,1_0_0
TRAAAJO12903CAAC69,Stranger in Paradise,Tony Bennett,0_1_0
TRAAAZF12903CCCF6B,Break My Stride,Matthew Wilder,2_0_0
TRAAAGR128F425B14B,Into The Nightlife,Cyndi Lauper,1_0_0
TRAAAED128E0783FAB,It's About Time,Jamie Cullum,0_2_0
TRAAAYX128F4263BC0,Popular Modern Themes,Chokebore,0_0_1
TRAABIG128F9356C56,Walk the Walk,Poe,1_0_0
TRAABJS128F9325C99,Auburn and Ivory,Beach House,0_1_0
TRAABHO12903D08576,I Know You,Mike Stern,0_1_0
TRAACNS128F14A2DF5,Spanish Grease,Willie Bobo,1_0_0
TRAACIE128F428495B,Not For You,Pearl Jam,0_0_1
TRAACGS128F4248480,Dusty Roads,Filthy Thieving Bastards,1_0_0
TRAACPH12903CF5F14,Double Feature,Camera Obscura,0_1_1
TRAACZN128F93236B1,Seaweed,Saul Williams,0_1_0
TRAADVO128E07999E9,Oh God,Jamie Cullum,0_1_0
TRAADKW128E079503A,Fast Car (LP Version),Tracy Chapman,1_1_2
TRAADLN128F14832E9,Angie,The Rolling Stones,0_1_1
TRAADQX128F422B4CF,Nashville Parthenon,Casiotone for the Painfully Alone,1_0_0
TRAADNA128F9331246,Crossfire,Stevie Ray Vaughan,0_1_0
TRAAEWG128F930B3A4,Wicker Chair,Kings of Leon,0_0_3
TRAAEEH128E0795DFE,Driving Home For Christmas,Chris Rea,0_1_0
TRAAFRD12903CE6337,My Funny Valentine,Big Muff,0_1_0
TRAAFGQ128F427D884,One Last Time,The Kooks,0_1_1
TRAAFMS128F933AB23,Entre Caníbales,Soda Stereo,0_0_2
TRAAGTO128F1497E3C,Banjo,Julie Doiron,0_0_1
TRAAGOZ128F92EB3D4,You Can,David Archuleta,0_1_0
TRAAGJV128F1464090,It's My Party,Lesley Gore,0_0_1
TRAAGPH128F4273C8D,You Can Still Be Free,Savage Garden,0_3_1
TRAAGCZ128F93210FD,Let's Get It Started,Black Eyed Peas,1_0_0
TRAAGPJ128F428CD1B,I Never Came,Queens Of The Stone Age,0_0_2
TRAAGAV128F4241242,Kesäloma on kesällä,Ne Luumäet,1_0_0
TRAAGEC128E079252C,Metal,Nine Inch Nails,0_0_1
TRAAHXF128F146D23E,Dustin Hoffman Becomes Indignant and Wets Himself,of Montreal,1_0_0
TRAAHDK128F423BB26,Folding Stars,Biffy Clyro,1_0_1
TRAAHYY128F4273BFE,Sunset Road,Béla Fleck and the Flecktones,0_1_0
TRAAIHL128F92E6DDA,On Bended Knee,Boyz II Men,0_0_1
TRAAIQS128F9301078,Kladfvgbung Micshk,Aphex Twin,1_0_0
TRAAIDR128F145A5C2,Me And The Farmer,The Housemartins,1_0_0
TRAAIUK12903CD7147,Victor Jara,Lillebjørn Nilsen,0_0_1
TRAAJCQ12903CF53D5,Black & Blue,Miike Snow,0_1_0
TRAAKDG128F42A0ECB,Hips Don't Lie,Shakira,1_0_0
TRAAKAS128F4246013,Waiting,Porcupine Tree,0_4_0
TRAAKMX128F934B494,Gore Apocalypse,Vomitory,0_0_1
TRAAKQA128F424B272,I Wanna Be Loved By You,Marilyn Monroe,1_0_0
TRAALDI128EF35F6DD,The Darkest Night of All,Lisa Germano,0_0_3
TRAALYN128F1452482,The Boy With the Thorn in His Side,The Smiths,0_0_1
TRAALUZ128F932B42B,Freesia,ギルガメッシュ,0_0_1
TRAALAH128E078234A,Bitter Sweet Symphony,The Verve,1_3_1
TRAALRZ128F429024E,Mozart,Suzanne Ciani,0_1_0
TRAALSG128F42B180D,Mit dir chilln,Revolverheld,0_1_0
TRAAMES128F42AF068,Inside Job,Pearl Jam,0_2_0
TRAAMSZ128F423DCB0,Like A Cloud,Karunesh,0_2_0
TRAAMCQ128F4259A2F,Pills,Primal Scream,0_1_0
TRAANTZ128E0792529,The Frail,Nine Inch Nails,0_0_1
TRAANUW128F42A1B64,Greece 2000,Three Drives,0_1_0
TRAANSZ128F425DD63,Stop Coming to My House,Mogwai,1_2_1
TRAAOIC128F9338C21,Star Surfer,Genki Rockets,1_0_0
TRAAOIK128F424BFED,What's Happening Brother,Marvin Gaye,0_1_1
TRAAPPQ128F14961F5,Wig,The B-52's,1_0_0
TRAAPKQ128F4234DFE,Guess Who's Coming To Dinner,Black Uhuru,0_0_1
TRAAPCL128F930CB6C,100 Ways,Fattburger,0_1_0
TRAAPVV128F425D64C,Forever,Chris Brown,1_0_0
TRAAPYK12903CFBC16,Fences,Phoenix,1_0_0
TRAAPPQ12903D0129F,Hold On to the Nights,Richard Marx,0_2_1
TRAAQKX128F428E76C,Wildflower,Sheryl Crow,0_3_1
TRAAQLF128F427822C,Ole Buttermilk Sky,Willie Nelson,1_0_0
TRAAQCK128F92E8C33,U Killed It,Lily Allen,0_1_0
TRAAQYH128F92D5C30,Tao and Zen,Karunesh,0_2_0
TRAARZD128F92D4A44,Ještě mi scházíš,Jaromír Nohavica,0_0_1
TRAARHS128F931689D,Spaceman,The Killers,3_0_0
TRAARCW12903CEB779,When I Fall In Love,Nat King Cole,0_1_0
TRAASJJ128F933E26E,5 Years,Björk,0_0_1
TRAASZE128F93499AE,I Need You Now,Agnes,0_0_1
TRAASED12903CEE1C5,Metallic Rain,Vangelis,0_1_0
TRAASKQ128F4265E04,Kick Out The Jams,Rage Against the Machine,1_0_0
TRAASFP128F42980BD,Illuminate,Orbital,1_0_0
TRAATVN128F92F42CE,Beachball,Nalin & Kane,0_1_0
TRAATXI128F428228E,Doricamente,Tommy Hools,0_1_0
TRAATEV128F92F8000,Jackson,Johnny Cash,1_0_0
TRAATPB128C719688E,Not Now,blink-182,0_0_1
TRAATFW128F14957A8,Jamaica Mistaica,Jimmy Buffett,1_0_0
TRAATJP12903CBA7D7,La Bamba,Ritchie Valens,4_1_0
TRAAUEO128E0780CB9,English Summer Rain,Placebo,0_0_1
TRAAVRU128F423EAE2,No Aloha,The Breeders,0_0_1
TRAAVRB128F426E323,Happy,Brick,1_0_0
TRAAVJY128F932F932,Rock Around The Clock,Bill Haley and the Comets,2_0_0
TRAAVIS128F931A7CD,Desafinado,Coleman Hawkins,0_2_0
TRAAWVV12903CE827E,On and On,Hit the Lights,1_0_0
TRAAWZV128F42BC229,Acceptable In The 80's,Calvin Harris,1_0_0
TRAAXVV128F426FAA7,Intro,Lauryn Hill,0_1_0
TRAAXPX128F42AA93D,Letter Read,Rachael Yamagata,1_0_0
TRAAXAV128E0788BB9,Astrud Astronette,De-Phazz,0_1_0
TRAAZPJ128F4292DB5,Isla Del Luna,Lisa Lynne,0_3_0
TRAAZIE128F427961E,The Second Summer Of Love,Danny Wilson,1_0_0
TRAAZVG128F425A9BD,When You're Looking Like That,Westlife,1_0_0
TRAAZVF128F145BFED,I Want a New Drug,Huey Lewis & The News,1_0_0
TRAAZDV128F93206B1,Positive Vibration,Bob Marley & The Wailers,0_1_0
TRABAFJ128F42AF24E,Larger Than Life,Backstreet Boys,1_0_0
TRABBPZ128F9309DB3,Frozen Roads,Brett Anderson,0_0_1
TRABBFC128F428DFC5,We Don't Need Another Hero (Thunderdome),Tina Turner,1_0_0
TRABCLD128F92EE158,Killa Soundboy,Fort Knox Five,1_0_0
TRABCIX128F4265903,The Ballad Of Sleeping Beauty,Sophie B. Hawkins,0_1_0
TRABCXB128F4286BD3,Prognosis,Steve Morse,0_1_0
TRABCKA128F42858F6,SSRI,IC 434,1_0_0
TRABDIN128F427AF69,Chapter,Psapp,1_0_1
TRABDVD128F4292CDF,Lake Of Dreams,Lisa Lynne,0_1_0
TRABDRM128F92D94BB,Games,Peter Broderick,0_2_0
TRABDWS12903CE801C,Suburban Train,Tiësto,0_2_0
TRABEJF128F930EAD8,The Saddest Song,Until June,0_0_1
