TRAAAJN128F428E437,AbCEF4sYSiY,SVDC6kPCkWA,lrnvPCSP6Q8,WfHKgcTaU_4,puFcUSfyTJM,jOmHcBVA-BU,yIlK4xjIsIE,pEBXuhqVSws,U7cyVSnlpVM,hBVfb0x2q6U
TRAAAJO12903CAAC69,jzA8gwfJr9I,WFrUsa5SUv0,otJXFz5EN0o,u3qSNHela0c,_TYk-pbciFg,N-0TsjHGIG4,XkYNqqa0JP4,kAG1rXrauaQ,_uyexSA3fjA,yFkirV2NE5c
TRAAAZF12903CCCF6B,cy46iOwWQiE,B4c_SkROzzo,Y4jxyIREJCg,x4GZJIZRaAk,gx0lWmerL_s,P5LMuvGFMUA,_k4Bp6hI1aw,-oj8s1u61AM,wuZlnzETGKE,hHZWTAC_oLA
TRAAAGR128F425B14B,O5UCUusl9jo,Sj0kntF94Oo,vhmvxK9M0RE,5IQL8hcGe2Q,ktwQA6lMuwQ,9fKF_ixdfMU,DKWbLC5qUNA,lFPqhtrIXRE,IafrcJRJWik,sMLT00LlYa0
TRAAAED128E0783FAB,p_tkNQSGV30,eErTL5_3oK4,XQK5CdVar3Y,C55lnH_PK3w,dmqCsXOlobo,flj8ssFn2iw,Hpikb7vqLYs,xOq2QTaZAq0,3f-cqyIKZT4,2Dcv36QRDRw
TRAAAYX128F4263BC0,KBPwK07tH3E,6U0bfn4lTkc,WDHkbkDtiac,bcDIoRRPsTc,sw8SC4wOTDM,viYQSkly3P8,KqigSUAAIIo,ZcHVz_YSpXU,GNDp9e1bvao
TRAABIG128F9356C56,lEEunvd7ZX8,juAU77-HqkI,fs11WSu4nEA,s0eDLvEFhzI,9hB_R9jWzns,VAajzK728nw,VF_gYfuTie0,KymZ3dIRUA0,7OYO2P6pvSw,Y-fIlRs6qCI
TRAABJS128F9325C99,cVpu7OtRUGg,eSy2jbj74Hw,gqjpUDmHt7E,UF2dj6d-wgQ,X2TccA18Psw,iv3lfTfR0Xk,Ays6Ditxg5M,oIeDaqs9jLQ,GKlP1i6bNNA
TRAABHO12903D08576,B5OdOeegiio,vq-VbMw-lkk,6U9ir6LdPZk,SAsXsRKrOY4,45RcfJwds8M,p6wu14Xji4g,HOijJFgBAH4,hAa3ncUrM0M,hIyL6I6cEjw,GQNf-En7yrY
TRAACNS128F14A2DF5,7DgsvfiyUYo,o34TbQOzhkU,x21w1wK4iFQ,e_VhfwpUxLI,ZUlrXI8bTZQ,n9BPvlvmVfo,My3W9PIFSvc,Mt__-9QFgUw
TRAACIE128F428495B,eoC82RuAxqw,MXMs4Rbgwsw,EGdnfUt8lQo,3NW7wYau1LY,1g_PogiGYVc,-pFOsj7_CaA,z9dU45ijgyk,iLglB-T4LZc,LF-CGv7DdoM,cfZwN29jkRU
TRAACGS128F4248480,BX1Pjt31bWY,H9TxkpRKua8,iQGHjB46aaU,d1S6R1YmRac,MssoyYCr6UY,XulP5WMcxqs,c5FrtP3KI-8
TRAACPH12903CF5F14,_ZFijNnPhCc,ZEdETqNEp5o,BnwCKsmiCTI,Vbgy39Kd_uA,LutIudRhm10,LP9g0SEYvt4
TRAACZN128F93236B1,eA4Eo9d7SbU,sXzK0AFpmcI,U1KPJwOqkDI,OtpTh6LBgbU,JBxsQqzuEKk,l3ttubsYbh4,SnnTBpuW9ww
TRAADVO128E07999E9,9m-XEE9bdT8,Tzj3Q7RePEU,HxHZxtW-HIs,07xq1tqGuKU,7lGN2iST3q4,gFFNClvJ9Pk,oPVVaJTDosA,5BqfpqtJUnc,mhmFKuHOQ1w,nUFeT9bBvsM
